match-baseline preparation tick 0 team0=5/100 supply=9/30 team1=5/100 supply=9/30 team2=5/100 supply=9/30 team3=5/100 supply=9/30
match-baseline preparation tick 6000 team0=21/100 supply=21/184 team1=21/100 supply=21/184 team2=21/100 supply=21/184 team3=21/100 supply=21/184
match-latency slow_step tick=6035 phase=preparation update_wall_ms=21.751 monotonic_ms=6235.903 wall_epoch_ms=1789394075564.077 profile_collected=1 profile_tick=6035 setup_ms=0.000 production_ms=0.005 movement_economy_ms=21.683 vision_ms=0.062 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=16852 terrain_misses=623 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4477 terrain_payload_bytes=4194304 profile_total_ms=21.751
match-latency slow_step tick=6041 phase=preparation update_wall_ms=22.366 monotonic_ms=6310.467 wall_epoch_ms=1789394075638.641 profile_collected=1 profile_tick=6041 setup_ms=0.000 production_ms=0.006 movement_economy_ms=22.296 vision_ms=0.063 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=15239 terrain_misses=189 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4504 terrain_payload_bytes=4194304 profile_total_ms=22.366
match-latency slow_step tick=6042 phase=preparation update_wall_ms=24.694 monotonic_ms=6333.081 wall_epoch_ms=1789394075661.255 profile_collected=1 profile_tick=6042 setup_ms=0.000 production_ms=0.006 movement_economy_ms=24.625 vision_ms=0.062 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=2236 terrain_misses=28 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4532 terrain_payload_bytes=4194304 profile_total_ms=24.694
match-latency slow_step tick=6284 phase=preparation update_wall_ms=22.531 monotonic_ms=6528.597 wall_epoch_ms=1789394075856.771 profile_collected=1 profile_tick=6284 setup_ms=0.000 production_ms=0.005 movement_economy_ms=22.463 vision_ms=0.062 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=13128 terrain_misses=0 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4532 terrain_payload_bytes=4194304 profile_total_ms=22.531
match-latency slow_step tick=6296 phase=preparation update_wall_ms=20.456 monotonic_ms=6561.458 wall_epoch_ms=1789394075889.632 profile_collected=1 profile_tick=6296 setup_ms=0.000 production_ms=0.005 movement_economy_ms=20.388 vision_ms=0.061 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=2248 terrain_misses=0 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4532 terrain_payload_bytes=4194304 profile_total_ms=20.456
match-latency slow_step tick=6416 phase=preparation update_wall_ms=196.259 monotonic_ms=6664.856 wall_epoch_ms=1789394075993.031 profile_collected=1 profile_tick=6416 setup_ms=0.000 production_ms=0.005 movement_economy_ms=196.196 vision_ms=0.058 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=0 terrain_misses=840192 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4532 terrain_payload_bytes=4194304 profile_total_ms=196.259
match-latency slow_step tick=6717 phase=preparation update_wall_ms=21.717 monotonic_ms=7080.363 wall_epoch_ms=1789394076408.537 profile_collected=1 profile_tick=6717 setup_ms=0.000 production_ms=0.005 movement_economy_ms=21.648 vision_ms=0.062 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=2232 terrain_misses=0 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4532 terrain_payload_bytes=4194304 profile_total_ms=21.717
match-latency slow_step tick=6752 phase=preparation update_wall_ms=21.201 monotonic_ms=7130.412 wall_epoch_ms=1789394076458.587 profile_collected=1 profile_tick=6752 setup_ms=0.000 production_ms=0.005 movement_economy_ms=21.131 vision_ms=0.063 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=2216 terrain_misses=0 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4532 terrain_payload_bytes=4194304 profile_total_ms=21.201
match-latency slow_step tick=6804 phase=preparation update_wall_ms=20.844 monotonic_ms=7189.787 wall_epoch_ms=1789394076517.962 profile_collected=1 profile_tick=6804 setup_ms=0.000 production_ms=0.005 movement_economy_ms=20.774 vision_ms=0.063 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=17248 terrain_misses=0 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4532 terrain_payload_bytes=4194304 profile_total_ms=20.844
