PID     Executable Path                                                                                                                                                                  
23856   /System/Library/PrivateFrameworks/NewDeviceOutreach.framework/ndoagent                                                                                                           
23857   /usr/libexec/PowerUIAgent                                                                                                                                                        
23874   /System/Library/PrivateFrameworks/CoreAccessoriesFeatures.framework/XPCServices/ACCNowPlayingFeature.xpc/ACCNowPlayingFeature                                                    
24258   /System/Library/PrivateFrameworks/CoreThreadRadio.framework/threadradiod                                                                                                         
24412   /System/Library/PrivateFrameworks/SiriPrivateLearningAnalytics.framework/PlugIns/SiriUserFeedbackLearningPlatformPlugin.appex/SiriUserFeedbackLearningPlatformPlugin             
24419   /System/Library/PrivateFrameworks/CloudTelemetry.framework/Support/cloudtelemetryd                                                                                               
24486   /System/Library/PrivateFrameworks/SocialLayer.framework/sociallayerd.app/sociallayerd                                                                                            
25021   /usr/libexec/pfd                                                                                                                                                                 
25073   /usr/libexec/gpsd                                                                                                                                                                
25164   /System/Library/PrivateFrameworks/AppStoreComponents.framework/Support/appstorecomponentsd                                                                                       
25167   /System/Library/PrivateFrameworks/SeymourServices.framework/fitcoresessiond                                                                                                      
25223   /usr/libexec/frauddefensed                                                                                                                                                       
25277   /System/Library/PrivateFrameworks/MediaAnalysis.framework/mediaanalysisd                                                                                                         
25284   /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd                                                                                                                   
25285   /System/Library/PrivateFrameworks/Pasteboard.framework/Support/pasted                                                                                                            
25404   /usr/sbin/BTAvrcp                                                                                                                                                                
25465   /System/Library/Frameworks/FinanceKit.framework/financed                                                                                                                         
25487   /System/Library/Frameworks/GSS.framework/Helpers/GSSCred                                                                                                                         
25640   /usr/libexec/announced                                                                                                                                                           
25684   /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Support/photoanalysisd                                                                                                 
26379   /usr/libexec/remindd                                                                                                                                                             
26451   /System/Library/Frameworks/MediaAccessibility.framework/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/com.apple.accessibility.mediaaccessibilityd                  
26572   /private/var/containers/Bundle/Application/A80CCDA8-C544-4166-B680-6FDEF6F45EED/Discord.app/Discord                                                                              
26711   /System/Library/PrivateFrameworks/VisualVoicemail.framework/vmd                                                                                                                  
26751   /Applications/Family.app/Family                                                                                                                                                  
26771   /usr/libexec/nesessionmanager                                                                                                                                                    
26796   /usr/libexec/icloudmailagent                                                                                                                                                     
26838   /usr/libexec/srp-mdns-proxy                                                                                                                                                      
26971   /System/Library/PrivateFrameworks/EmailDaemon.framework/maild                                                                                                                    
26983   /System/Library/PrivateFrameworks/BookDataStore.framework/Support/bookdatastored                                                                                                 
27018   /System/Library/PrivateFrameworks/IntelligencePlatformCore.framework/intelligenceplatformd                                                                                       
27021   /System/Library/Frameworks/AssetsLibrary.framework/Support/assetsd                                                                                                               
27040   /usr/libexec/duetexpertd                                                                                                                                                         
27051   /usr/libexec/nptocompaniond                                                                                                                                                      
27053   /System/Library/PrivateFrameworks/PrivacyAccounting.framework/Versions/A/Resources/privacyaccountingd                                                                            
27054   /System/Library/PrivateFrameworks/iCloudDriveCore.framework/bird                                                                                                                 
27056   /usr/libexec/siriknowledged                                                                                                                                                      
27060   /System/Library/PrivateFrameworks/AssetCacheServices.framework/XPCServices/AssetCacheLocatorService.xpc/AssetCacheLocatorService                                                 
27062   /usr/libexec/inputanalyticsd                                                                                                                                                     
27065   /Applications/StickerPickerService.app/StickerPickerService                                                                                                                      
27071   /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd                                                                                                 
27075   /System/Library/PrivateFrameworks/FontServices.framework/Support/fontservicesd                                                                                                   
27084   /usr/libexec/swcd                                                                                                                                                                
27098   /System/Library/PrivateFrameworks/CoreEmbeddedSpeechRecognition.framework/speechmaintenanced                                                                                     
27099   /usr/libexec/hybridsearchd                                                                                                                                                       
27101   /System/Library/PrivateFrameworks/CascadeSets.framework/XPCServices/SetStoreUpdateService.xpc/SetStoreUpdateService                                                              
27108   /usr/libexec/applekeystored                                                                                                                                                      
27150   /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/IMDPersistenceAgent                                                               
27170   /System/Library/PrivateFrameworks/iCloudNotification.framework/ind                                                                                                               
27173   /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent                                                                           
27178   /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistorySyncHelper                                                                                            
27180   /usr/libexec/asd                                                                                                                                                                 
27181   /System/Library/PrivateFrameworks/MediaConversionService.framework/XPCServices/com.apple.photos.ImageConversionService.xpc/com.apple.photos.ImageConversionService               
27248   /System/Library/PrivateFrameworks/Search.framework/searchd                                                                                                                       
27457   /usr/libexec/mediaparserd                                                                                                                                                        
27460   /System/Library/PrivateFrameworks/CascadeSets.framework/XPCServices/SetStoreUpdateService.xpc/SetStoreUpdateService                                                              
27462   /System/Library/CoreServices/iconservicesagent                                                                                                                                   
